epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,717.705,1.4872,5.66881,1.3881,0.25192,0.16544,0.10931,0.05388,1.37413,7.15463,1.4404,0.00023,0.00023,0.00023
2,3621.53,1.26866,2.63815,1.29377,0.32746,0.43044,0.32278,0.19614,1.39495,5.50478,1.53471,0.000466122,0.000466122,0.000466122
3,3920.36,1.33905,2.4047,1.3732,0.39215,0.39672,0.34214,0.18554,1.58195,3.29159,1.66318,0.000698285,0.000698285,0.000698285
4,4217.24,1.3037,2.05411,1.33975,0.46721,0.43873,0.39796,0.22045,1.67989,4.26079,1.78833,0.000926487,0.000926487,0.000926487
5,4689.42,1.45168,2.05972,1.46263,0.30028,0.40691,0.27758,0.14683,1.7235,5.94785,1.90832,0.000967,0.000967,0.000967
6,7405.57,1.40698,2.06397,1.42738,0.56338,0.30128,0.32195,0.16559,1.79278,2.73327,1.90469,0.00095875,0.00095875,0.00095875
7,9119.31,1.46744,1.93478,1.4269,0.42025,0.40957,0.35746,0.1828,1.71175,3.43625,1.78371,0.0009505,0.0009505,0.0009505
8,11499.1,1.39622,1.69508,1.35357,0.58,0.46723,0.42844,0.22184,1.70173,3.57809,1.78076,0.00094225,0.00094225,0.00094225
9,11858.6,1.37753,1.6405,1.38143,0.67176,0.45086,0.48268,0.26343,1.59947,2.77517,1.69571,0.000934,0.000934,0.000934
10,12253.4,1.26919,1.50895,1.34708,0.54075,0.4326,0.41308,0.23506,1.63062,2.68754,1.73541,0.00092575,0.00092575,0.00092575
11,12660.9,1.35194,1.63175,1.41091,0.51885,0.3576,0.39684,0.23723,1.71232,2.80923,1.72456,0.0009175,0.0009175,0.0009175
12,13062.2,1.38401,1.58921,1.35407,0.52152,0.42932,0.42532,0.24077,1.62616,2.70107,1.74113,0.00090925,0.00090925,0.00090925
13,13419.4,1.32998,1.47733,1.36351,0.61471,0.49984,0.46309,0.25219,1.61811,2.4021,1.67758,0.000901,0.000901,0.000901
14,13776.6,1.28633,1.37964,1.31191,0.58102,0.45808,0.49802,0.28024,1.64851,2.00389,1.68474,0.00089275,0.00089275,0.00089275
15,14130.7,1.39769,1.5156,1.38452,0.524,0.47607,0.45087,0.23694,1.79994,2.09836,1.85041,0.0008845,0.0008845,0.0008845
16,14492.4,1.3087,1.53048,1.30349,0.55265,0.38794,0.45926,0.24937,1.65891,2.12583,1.72102,0.00087625,0.00087625,0.00087625
17,14812.6,1.26017,1.39741,1.3026,0.68936,0.5708,0.55439,0.31109,1.57269,1.73748,1.64776,0.000868,0.000868,0.000868
18,15083.6,1.21285,1.35051,1.27754,0.71761,0.48893,0.57695,0.31907,1.58465,1.86652,1.66731,0.00085975,0.00085975,0.00085975
19,15353,1.25177,1.33228,1.29759,0.50773,0.635,0.59299,0.31644,1.56532,1.70038,1.62481,0.0008515,0.0008515,0.0008515
20,15619.5,1.21469,1.28608,1.25357,0.64052,0.5591,0.58739,0.31947,1.59172,1.79573,1.65811,0.00084325,0.00084325,0.00084325
21,15886.2,1.24979,1.19335,1.29522,0.65411,0.57331,0.60817,0.32135,1.57928,1.8368,1.61813,0.000835,0.000835,0.000835
22,16152.4,1.18514,1.13623,1.25231,0.62342,0.55778,0.61478,0.33504,1.61524,1.78108,1.68078,0.00082675,0.00082675,0.00082675
23,16417.5,1.19313,1.15198,1.27762,0.55832,0.62729,0.61255,0.35735,1.54956,1.61586,1.59998,0.0008185,0.0008185,0.0008185
24,16683.2,1.169,1.07723,1.24081,0.62526,0.56252,0.61325,0.35574,1.54974,1.60944,1.59653,0.00081025,0.00081025,0.00081025
25,16949.1,1.15231,1.08501,1.24268,0.64731,0.53789,0.59498,0.36499,1.52893,1.61481,1.57888,0.000802,0.000802,0.000802
26,17216,1.11195,1.10652,1.23611,0.60408,0.52734,0.55066,0.32095,1.59955,1.86919,1.69215,0.00079375,0.00079375,0.00079375
27,17548.7,1.11886,1.08693,1.21792,0.80895,0.53026,0.59304,0.32856,1.54576,1.84827,1.65072,0.0007855,0.0007855,0.0007855
28,17947.8,1.18039,1.10792,1.23304,0.70723,0.49472,0.55565,0.31363,1.62336,1.83119,1.71589,0.00077725,0.00077725,0.00077725
29,18308.5,1.14524,1.05135,1.24919,0.86506,0.49199,0.59503,0.32458,1.62517,1.81138,1.71893,0.000769,0.000769,0.000769
30,18582.9,1.11337,1.12747,1.2311,0.68402,0.57083,0.60613,0.34305,1.60056,1.62683,1.63646,0.00076075,0.00076075,0.00076075
31,18858.9,1.19334,1.07972,1.3037,0.75393,0.51919,0.60467,0.34451,1.60722,1.63979,1.59852,0.0007525,0.0007525,0.0007525
32,19151.2,1.08988,0.95661,1.17461,0.75575,0.53539,0.60661,0.37065,1.55446,1.56605,1.61107,0.00074425,0.00074425,0.00074425
33,19424.7,1.11421,1.01261,1.17705,0.64683,0.5459,0.59298,0.35983,1.54893,1.68474,1.57847,0.000736,0.000736,0.000736
