epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5132,1.86825,4.23481,1.58638,0.00305,0.11379,0.05334,0.04133,1.68622,4.23268,1.16882,4e-05,4e-05,4e-05
2,42.2266,1.82912,3.96172,1.47106,0.00402,0.11379,0.08585,0.05776,1.61837,4.21907,1.12802,8.8218e-05,8.8218e-05,8.8218e-05
3,58.077,1.60107,3.57141,1.38305,0.00443,0.1069,0.09907,0.06449,1.62185,4.20833,1.13991,0.000134456,0.000134456,0.000134456
4,74.492,1.63588,3.22618,1.392,0.00853,0.20402,0.11556,0.06377,1.65777,4.15486,1.15471,0.000178714,0.000178714,0.000178714
5,89.9624,1.67935,2.63243,1.33671,0.01078,0.26782,0.13604,0.07024,1.72666,4.06013,1.16993,0.000220992,0.000220992,0.000220992
6,105.125,1.60752,2.52534,1.26881,0.01135,0.24828,0.13878,0.06913,1.72847,4.01641,1.17326,0.00026129,0.00026129,0.00026129
7,120.394,1.7042,2.63579,1.37993,0.27447,0.15402,0.13669,0.07766,1.81253,3.98404,1.2048,0.000299608,0.000299608,0.000299608
8,136.207,1.50851,2.20753,1.21785,0.01041,0.21494,0.10337,0.06464,1.84534,3.98625,1.23547,0.000335946,0.000335946,0.000335946
9,154.203,1.63976,2.68392,1.38888,0.00898,0.21494,0.0918,0.05771,1.86672,3.95106,1.22103,0.000370304,0.000370304,0.000370304
10,179.505,1.53114,2.14727,1.25668,0.00921,0.21207,0.09439,0.05861,1.87208,3.82264,1.22684,0.000402682,0.000402682,0.000402682
11,203.018,1.50746,2.16365,1.19582,0.01218,0.28966,0.12741,0.08232,1.82365,3.6849,1.22612,0.00043308,0.00043308,0.00043308
12,226.152,1.52267,2.16218,1.23882,0.82843,0.12778,0.20006,0.1196,1.75649,3.5273,1.19064,0.000461498,0.000461498,0.000461498
13,249.915,1.5803,2.14941,1.24245,0.89237,0.06412,0.25156,0.14383,1.74127,3.3715,1.20478,0.000487936,0.000487936,0.000487936
14,274.338,1.48524,1.8046,1.20995,0.89237,0.06412,0.25156,0.14383,1.74127,3.3715,1.20478,0.000512394,0.000512394,0.000512394
15,298.493,1.50639,2.02125,1.2349,0.85112,0.11379,0.25815,0.15019,1.76654,3.22757,1.21152,0.000534872,0.000534872,0.000534872
16,321.56,1.52541,2.0127,1.26092,0.85171,0.10952,0.25572,0.15088,1.83564,3.16939,1.23151,0.00055537,0.00055537,0.00055537
17,344.526,1.57242,1.99636,1.22179,0.8469,0.11913,0.27801,0.1539,1.86462,3.0233,1.26827,0.000573888,0.000573888,0.000573888
18,367.501,1.47961,1.84424,1.28883,0.8469,0.11913,0.27801,0.1539,1.86462,3.0233,1.26827,0.000590426,0.000590426,0.000590426
19,391.857,1.40814,1.86896,1.25911,0.81196,0.13767,0.24181,0.13719,1.93327,2.8882,1.31223,0.000604984,0.000604984,0.000604984
20,415.08,1.4998,1.71828,1.2046,0.96695,0.13729,0.27633,0.14508,1.96609,2.89498,1.36557,0.000617562,0.000617562,0.000617562
21,437.243,1.39862,1.73719,1.19957,0.96695,0.13729,0.27633,0.14508,1.96609,2.89498,1.36557,0.000604,0.000604,0.000604
22,459.516,1.44341,1.74653,1.18394,0.75556,0.16434,0.27252,0.14176,1.95756,2.76809,1.36354,0.0005842,0.0005842,0.0005842
23,482.601,1.39689,1.75668,1.17979,0.71865,0.25929,0.27976,0.14968,1.97553,2.54086,1.36701,0.0005644,0.0005644,0.0005644
24,505.406,1.35009,1.52432,1.14211,0.71865,0.25929,0.27976,0.14968,1.97553,2.54086,1.36701,0.0005446,0.0005446,0.0005446
25,528.855,1.43331,1.7436,1.22185,0.65252,0.26918,0.28477,0.15053,1.969,2.23194,1.34005,0.0005248,0.0005248,0.0005248
26,552.595,1.37327,1.59086,1.19828,0.65252,0.26918,0.28477,0.15053,1.969,2.23194,1.34005,0.000505,0.000505,0.000505
27,577.641,1.46258,1.53401,1.18355,0.63425,0.28206,0.30235,0.14992,1.96353,2.05863,1.3308,0.0004852,0.0004852,0.0004852
28,601.32,1.28763,1.57713,1.16371,0.58442,0.29326,0.32017,0.1561,2.02302,2.03551,1.36662,0.0004654,0.0004654,0.0004654
29,625.02,1.31401,1.37296,1.14112,0.58442,0.29326,0.32017,0.1561,2.02302,2.03551,1.36662,0.0004456,0.0004456,0.0004456
30,647.687,1.34363,1.43549,1.11475,0.53557,0.32793,0.30802,0.15383,1.9821,1.98056,1.3625,0.0004258,0.0004258,0.0004258
31,671.056,1.27635,1.40478,1.12978,0.60304,0.32264,0.32307,0.16491,1.89345,1.93356,1.30912,0.000406,0.000406,0.000406
32,694.438,1.35441,1.59063,1.12022,0.60304,0.32264,0.32307,0.16491,1.89345,1.93356,1.30912,0.0003862,0.0003862,0.0003862
33,717.491,1.24854,1.51088,1.13737,0.5944,0.35088,0.34088,0.17755,1.84925,1.8872,1.28018,0.0003664,0.0003664,0.0003664
34,741.679,1.25637,1.37998,1.12079,0.5944,0.35088,0.34088,0.17755,1.84925,1.8872,1.28018,0.0003466,0.0003466,0.0003466
35,765.533,1.29856,1.50605,1.11681,0.58689,0.32299,0.31978,0.1768,1.83887,1.84852,1.27935,0.0003268,0.0003268,0.0003268
36,789.435,1.2078,1.38845,1.14818,0.58606,0.33258,0.33547,0.17524,1.82917,1.80305,1.26984,0.000307,0.000307,0.000307
37,812.969,1.25417,1.42345,1.1134,0.58606,0.33258,0.33547,0.17524,1.82917,1.80305,1.26984,0.0002872,0.0002872,0.0002872
38,836.931,1.21394,1.44827,1.13936,0.61061,0.32989,0.3421,0.17726,1.82675,1.77339,1.26023,0.0002674,0.0002674,0.0002674
39,861.003,1.20523,1.67901,1.14879,0.63499,0.33678,0.35461,0.18249,1.83149,1.74411,1.25695,0.0002476,0.0002476,0.0002476
40,884.778,1.22249,1.4757,1.12476,0.63499,0.33678,0.35461,0.18249,1.83149,1.74411,1.25695,0.0002278,0.0002278,0.0002278
41,907.637,1.13104,1.5273,1.03429,0.65905,0.30825,0.35516,0.19451,1.82445,1.72111,1.24696,0.000208,0.000208,0.000208
42,930.004,1.17813,1.48219,1.0662,0.65905,0.30825,0.35516,0.19451,1.82445,1.72111,1.24696,0.0001882,0.0001882,0.0001882
43,953.327,1.07857,1.39232,1.02882,0.64285,0.32052,0.36024,0.19819,1.77902,1.73211,1.24049,0.0001684,0.0001684,0.0001684
44,974.383,1.15408,1.46989,1.0534,0.64905,0.32484,0.36147,0.19688,1.77902,1.75441,1.25079,0.0001486,0.0001486,0.0001486
45,994.305,1.12092,1.46608,1.03776,0.64905,0.32484,0.36147,0.19688,1.77902,1.75441,1.25079,0.0001288,0.0001288,0.0001288
46,1017.29,1.10588,1.47797,1.09233,0.68795,0.3193,0.36056,0.19702,1.77829,1.74777,1.25117,0.000109,0.000109,0.000109
47,1041.32,1.04631,1.38524,1.01121,0.68979,0.336,0.35923,0.1985,1.78912,1.76934,1.25398,8.92e-05,8.92e-05,8.92e-05
48,1064.05,1.10946,1.43953,1.01937,0.68979,0.336,0.35923,0.1985,1.78912,1.76934,1.25398,6.94e-05,6.94e-05,6.94e-05
49,1084.99,1.17462,1.53685,1.08709,0.68976,0.31735,0.35705,0.19662,1.79306,1.7732,1.26161,4.96e-05,4.96e-05,4.96e-05
50,1105.11,1.07676,1.53104,1.02967,0.68976,0.31735,0.35705,0.19662,1.79306,1.7732,1.26161,2.98e-05,2.98e-05,2.98e-05
